op,shape,dur_us,flops,bytes_accessed
%iota.1,"f32[128]{0:T(128)} iota(), iota_dimensio",0.236,0,0
%copy-start,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",0.003,0,0
%copy-done,f32[128]{0:T(128)S(1)} copy-done((f32[12,0.003,0,0
%broadcast_add_fusion,f32[128]{0:T(128)} fusion(f32[128]{0:T(1,0.231,0,0
%broadcast,f32[128]{0:T(128)S(1)} broadcast(f32[]{:,0.004,0,0
%custom-call,c64[128]{0:T(128)} custom-call(f32[128]{,0.772,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%add_select_fusion.76,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.904,0,0
%fusion.316,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.86,0,0
%add_select_fusion.43,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%add_select_fusion.31,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%and_or_fusion.4,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.051,0,0
%fusion.361,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%custom-call,f32[128]{0:T(128)S(1)} custom-call(c64[1,0.309,0,0
%custom-call.1,f32[128]{0:T(128)S(1)} custom-call(c64[1,0.305,0,0
%fusion.605,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",0.004,0,0
%multiply_reduce_fusion,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",1.54,0,0
%fusion.606,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",0.009,0,0
%custom-call.2,c64[128]{0:T(128)} custom-call(f32[128]{,0.466,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%add_select_fusion.76,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.903,0,0
%fusion.316,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%add_select_fusion.43,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%add_select_fusion.31,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.4,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.05,0,0
%fusion.361,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.04,0,0
%custom-call,f32[128]{0:T(128)S(1)} custom-call(c64[1,0.31,0,0
%custom-call.1,f32[128]{0:T(128)S(1)} custom-call(c64[1,0.306,0,0
%fusion.605,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",0.004,0,0
%multiply_reduce_fusion,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",1.541,0,0
%fusion.606,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",0.009,0,0
%custom-call.2,c64[128]{0:T(128)} custom-call(f32[128]{,0.466,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%add_select_fusion.76,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.316,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.858,0,0
%add_select_fusion.43,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%add_select_fusion.31,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.4,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.05,0,0
%fusion.361,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%custom-call,f32[128]{0:T(128)S(1)} custom-call(c64[1,0.309,0,0
%custom-call.1,f32[128]{0:T(128)S(1)} custom-call(c64[1,0.305,0,0
%fusion.605,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",0.004,0,0
%multiply_reduce_fusion,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",1.541,0,0
%fusion.606,"(f32[128]{0:T(128)S(1)}, f32[128]{0:T(12",0.009,0,0
%custom-call.2,c64[128]{0:T(128)} custom-call(f32[128]{,0.467,0,0
%iota_and_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%iota_shift-right-logical_fusion,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%add_select_fusion.76,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.903,0,0
%fusion.316,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%add_select_fusion.43,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%add_select_fusion.31,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.4,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.05,0,0
%fusion.361,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
