engine,N,run,seconds
jnp.rfft,256,0,0.000243290
jnp.rfft,256,1,0.000217700
jnp.rfft,256,2,0.000200060
jnp.rfft,256,3,0.000179030
jnp.rfft,256,4,0.000189440
jnp.rfft,256,5,0.000191470
jnp.rfft,256,6,0.000180350
jnp.rfft,256,7,0.000177450
jnp.rfft,256,8,0.000183290
jnp.rfft,256,9,0.000201730
jnp.rfft,256,10,0.000173390
jnp.rfft,256,11,0.000166650
jnp.rfft,256,12,0.000174290
jnp.rfft,256,13,0.000166320
jnp.rfft,256,14,0.000162150
trickA,256,0,0.000203220
trickA,256,1,0.000172910
trickA,256,2,0.000178340
trickA,256,3,0.000174260
trickA,256,4,0.000189190
trickA,256,5,0.000181590
trickA,256,6,0.000187360
trickA,256,7,0.000195600
trickA,256,8,0.000176070
trickA,256,9,0.000199850
trickA,256,10,0.000185230
trickA,256,11,0.000174800
trickA,256,12,0.000161670
trickA,256,13,0.000164910
trickA,256,14,0.000167050
trickB,256,0,0.000203830
trickB,256,1,0.000183290
trickB,256,2,0.000184540
trickB,256,3,0.000184720
trickB,256,4,0.000181620
trickB,256,5,0.000175280
trickB,256,6,0.000159860
trickB,256,7,0.000160820
trickB,256,8,0.000165120
trickB,256,9,0.000168600
trickB,256,10,0.000167110
trickB,256,11,0.000164620
trickB,256,12,0.000160410
trickB,256,13,0.000160080
trickB,256,14,0.000165530
pallas_half,256,0,0.000525630
pallas_half,256,1,0.000392670
pallas_half,256,2,0.000362200
pallas_half,256,3,0.000304420
pallas_half,256,4,0.000305590
pallas_half,256,5,0.000292820
pallas_half,256,6,0.000307830
pallas_half,256,7,0.000298510
pallas_half,256,8,0.000248410
pallas_half,256,9,0.000242250
pallas_half,256,10,0.000286250
pallas_half,256,11,0.000244220
pallas_half,256,12,0.000209270
pallas_half,256,13,0.000211740
pallas_half,256,14,0.000221520
jnp.rfft,512,0,0.000233320
jnp.rfft,512,1,0.000200800
jnp.rfft,512,2,0.000217700
jnp.rfft,512,3,0.000250950
jnp.rfft,512,4,0.000205500
jnp.rfft,512,5,0.000186010
jnp.rfft,512,6,0.000176880
jnp.rfft,512,7,0.000190350
jnp.rfft,512,8,0.000182450
jnp.rfft,512,9,0.000178560
jnp.rfft,512,10,0.000173230
jnp.rfft,512,11,0.000171420
jnp.rfft,512,12,0.000173910
jnp.rfft,512,13,0.000182330
jnp.rfft,512,14,0.000194820
trickA,512,0,0.000197960
trickA,512,1,0.000180190
trickA,512,2,0.000193530
trickA,512,3,0.000175630
trickA,512,4,0.000186250
trickA,512,5,0.000175330
trickA,512,6,0.000161090
trickA,512,7,0.000172710
trickA,512,8,0.000186170
trickA,512,9,0.000167790
trickA,512,10,0.000159820
trickA,512,11,0.000160130
trickA,512,12,0.000160560
trickA,512,13,0.000170840
trickA,512,14,0.000189770
trickB,512,0,0.000200650
trickB,512,1,0.000190160
trickB,512,2,0.000226470
trickB,512,3,0.000184230
trickB,512,4,0.000179580
trickB,512,5,0.000177990
trickB,512,6,0.000178210
trickB,512,7,0.000196690
trickB,512,8,0.000182830
trickB,512,9,0.000179600
trickB,512,10,0.000179030
trickB,512,11,0.000179980
trickB,512,12,0.000182030
trickB,512,13,0.000186940
trickB,512,14,0.000181750
pallas_half,512,0,0.000456210
pallas_half,512,1,0.000333070
pallas_half,512,2,0.000387190
pallas_half,512,3,0.000262990
pallas_half,512,4,0.000293130
pallas_half,512,5,0.000268910
pallas_half,512,6,0.000253500
pallas_half,512,7,0.000240720
pallas_half,512,8,0.000231880
pallas_half,512,9,0.000220180
pallas_half,512,10,0.000217060
pallas_half,512,11,0.000216470
pallas_half,512,12,0.000213840
pallas_half,512,13,0.000229480
pallas_half,512,14,0.000221980
jnp.rfft,1024,0,0.000256890
jnp.rfft,1024,1,0.000220020
jnp.rfft,1024,2,0.000214760
jnp.rfft,1024,3,0.000200740
jnp.rfft,1024,4,0.000191390
jnp.rfft,1024,5,0.000187790
jnp.rfft,1024,6,0.000186510
jnp.rfft,1024,7,0.000183440
jnp.rfft,1024,8,0.000194590
jnp.rfft,1024,9,0.000193550
jnp.rfft,1024,10,0.000190360
jnp.rfft,1024,11,0.000183810
jnp.rfft,1024,12,0.000186460
jnp.rfft,1024,13,0.000188510
jnp.rfft,1024,14,0.000207500
trickA,1024,0,0.000200750
trickA,1024,1,0.000182310
trickA,1024,2,0.000195300
trickA,1024,3,0.000189000
trickA,1024,4,0.000175370
trickA,1024,5,0.000166860
trickA,1024,6,0.000167270
trickA,1024,7,0.000172490
trickA,1024,8,0.000192350
trickA,1024,9,0.000168830
trickA,1024,10,0.000165670
trickA,1024,11,0.000164840
trickA,1024,12,0.000168830
trickA,1024,13,0.000185410
trickA,1024,14,0.000190260
trickB,1024,0,0.000212530
trickB,1024,1,0.000196230
trickB,1024,2,0.000210540
trickB,1024,3,0.000188290
trickB,1024,4,0.000188660
trickB,1024,5,0.000186040
trickB,1024,6,0.000187170
trickB,1024,7,0.000198890
trickB,1024,8,0.000195250
trickB,1024,9,0.000189630
trickB,1024,10,0.000195800
trickB,1024,11,0.000204800
trickB,1024,12,0.000195290
trickB,1024,13,0.000196299
trickB,1024,14,0.000190909
pallas_half,1024,0,0.000449360
pallas_half,1024,1,0.000411169
pallas_half,1024,2,0.000316089
pallas_half,1024,3,0.000364040
pallas_half,1024,4,0.000300000
pallas_half,1024,5,0.000259229
pallas_half,1024,6,0.000246931
pallas_half,1024,7,0.000274540
pallas_half,1024,8,0.000257240
pallas_half,1024,9,0.000238920
pallas_half,1024,10,0.000218429
pallas_half,1024,11,0.000216469
pallas_half,1024,12,0.000212060
pallas_half,1024,13,0.000201549
pallas_half,1024,14,0.000199311
jnp.rfft,4096,0,0.000573610
jnp.rfft,4096,1,0.000351860
jnp.rfft,4096,2,0.000337750
jnp.rfft,4096,3,0.000634820
jnp.rfft,4096,4,0.000335380
jnp.rfft,4096,5,0.000351400
jnp.rfft,4096,6,0.000301290
jnp.rfft,4096,7,0.000307690
jnp.rfft,4096,8,0.000296400
jnp.rfft,4096,9,0.000319790
jnp.rfft,4096,10,0.000303460
jnp.rfft,4096,11,0.000377340
jnp.rfft,4096,12,0.000354550
jnp.rfft,4096,13,0.000336260
jnp.rfft,4096,14,0.000348620
trickA,4096,0,0.000311950
trickA,4096,1,0.000268560
trickA,4096,2,0.000247250
trickA,4096,3,0.000281570
trickA,4096,4,0.000227070
trickA,4096,5,0.000222710
trickA,4096,6,0.000211470
trickA,4096,7,0.000211980
trickA,4096,8,0.000204840
trickA,4096,9,0.000205220
