epoch,train_mse,test_mse,test_relL2
0,0.9485342872142791,0.814396321773529,0.9212958216667175
25,0.0011965537373907864,0.001064989366568625,0.03675152361392975
50,0.00024311293178470807,0.00021644440130330622,0.01751585304737091
75,0.00011398628645110875,0.0001035773238982074,0.012075684033334255
100,7.506455382099376e-05,7.004468352533877e-05,0.009981618262827396
125,5.331548924004892e-05,5.310898632160388e-05,0.008639640174806118
150,4.666795168304816e-05,4.531130616669543e-05,0.007979078218340874
175,3.930019036488375e-05,3.937487053917721e-05,0.00732662295922637
200,3.500903130770894e-05,3.62351092917379e-05,0.007026422303169966
225,3.204979793736129e-05,3.232510789530352e-05,0.006602782290428877
250,2.9143307328922675e-05,3.123417991446331e-05,0.0065156021155416965
275,2.8332935653452295e-05,3.017785638803616e-05,0.006319035310298204
299,2.7441421971161616e-05,2.872546247090213e-05,0.006177925504744053
