epoch,train_mse,test_mse,test_relL2
0,0.0991127796381712,0.04092147946357727,0.20144014060497284
25,0.0036301635432988404,0.009466510266065598,0.08760833740234375
50,0.0023430758029222487,0.009164170362055302,0.08753277361392975
75,0.00107053650803864,0.00800606980919838,0.08044424653053284
100,0.0008886266716755926,0.007961477153003216,0.07863880693912506
125,0.0005297544303815812,0.008002478629350662,0.07936275005340576
150,0.0004988308304920792,0.007929624989628792,0.07859175652265549
175,0.0004435905281454325,0.007864173501729965,0.0789836123585701
200,0.00036511824605986475,0.007907303050160408,0.07900860160589218
225,0.0003401272774208337,0.008023676462471485,0.07920898497104645
250,0.00029823924428783356,0.00801117718219757,0.07972560822963715
275,0.0002865517953643575,0.008053772151470184,0.0796128660440445
299,0.0002755418879212812,0.008053808473050594,0.07981117814779282
