epoch,train_mse,test_mse,test_relL2
0,0.19792725303769113,0.11514187604188919,0.33839935064315796
25,0.01912135911360383,0.04522757977247238,0.2118329554796219
50,0.012430860467255115,0.04808259755373001,0.21824407577514648
75,0.008060233531519771,0.04879255220293999,0.2197381556034088
100,0.006899087520316243,0.04939207807183266,0.2211189866065979
125,0.0053995906077325346,0.05023292079567909,0.22290782630443573
150,0.005101086901500821,0.05106173828244209,0.2247282713651657
175,0.004792888907715678,0.05151325464248657,0.22566688060760498
200,0.004273874383419752,0.052128102630376816,0.22701172530651093
225,0.004131383365020156,0.052511293441057205,0.22782304883003235
249,0.003884638504125178,0.05280527099967003,0.2284596562385559
