epoch,train_mse,test_relL2,best
0,0.7787013041973114,0.7664015370056146,0.7664015370056146
10,0.006102415453642607,0.0755629853190958,0.0755629853190958
20,0.0013258522655814886,0.0348024647247327,0.0348024647247327
30,0.0006445396289927885,0.024569006317460857,0.024569006317460857
40,0.0003799472487298772,0.0185033290213198,0.0185033290213198
50,0.00024357181217055768,0.014676727407284977,0.014676727407284977
60,0.00017028584275976754,0.012324313191042052,0.012324313191042052
70,0.000124918852452538,0.010531372668340767,0.010531372668340767
80,9.814571494644042e-05,0.009466155058865623,0.009466155058865623
90,7.89299258030951e-05,0.008474172390793351,0.008474172390793351
100,6.362704669300002e-05,0.007684006010319277,0.007684006010319277
110,5.774418092187261e-05,0.007406237302550655,0.007406237302550655
120,5.25238024056307e-05,0.007097973196223294,0.007097973196223294
130,4.816863380256109e-05,0.006729043078246954,0.006729043078246954
140,4.4956569763598966e-05,0.006537210585118829,0.006537210585118829
150,4.156597497058101e-05,0.006457230420256317,0.006457230420256317
160,3.7201730156084525e-05,0.006005549471783228,0.006005549471783228
170,3.534516963554779e-05,0.005996670332340145,0.005996670332340145
180,3.185891051543877e-05,0.0055676793387954915,0.0055676793387954915
190,2.9575055959867315e-05,0.005438684950877685,0.005438684950877685
199,3.1927788368193435e-05,0.005377585857856338,0.005377585857856338
